city,type,SO2,NO2,CO,O3,PM10,PM25,WD,WS,temp,RH,NO,Nox
수원,도로변,0.004,0.044,0.678,0.031,61.4,29.8,165.4573171,0.787195122,24.4,60.84146341,0.026853659,0.070591463
수원,도시대기,0.004,0.024,0.489,0.045,46.7,29.3,224.1495536,1.256865079,24.2,63.16359127,0.004287302,0.028041964
수원,이동차,0.006,0.025,0.344,0.046,52.4,37.5,237.9910714,0.914880952,24.4,61.88690476,0.007922619,0.032809524
용인,도시대기,0.004,0.018,0.358,0.016,29.7,17.1,152.6116071,0.938690476,27.9,70.77876984,0.015303571,0.033222222
용인,이동차,0.005,0.022,0.29,0.016,27.9,14.2,190.9131737,0.682035928,27.8,72.98203593,0.032317365,0.054113772
남양주,도시대기,0.003,0.012,0.368,0.032,20.5,10.8,166.8191964,1.176835317,29.3,68.80853175,0.00547619,0.017851687
남양주,이동차,0.001,0.017,0.324,0.03,15,8.9,120,0.631547619,30.3,70.7797619,0.01064881,0.027696429
성남,도로변,0.004,0.033,0.579,0.026,26.9,13.7,172.265625,0.788125,28.4,55.48125,0.0228875,0.05550625
성남,도시대기,0.003,0.017,0.389,0.035,26.9,14.6,155.7165179,1.37452381,27.1,56.09285714,0.005846429,0.022689881
성남,이동차,0.002,0.022,0.321,0.034,19.8,14.7,118.6607143,0.922619048,28.4,57.22619048,0.007470238,0.029517857
안양,도시대기,0.003,0.025,0.434,0.019,26.8,12.1,194.453125,1.204910714,18.3,60.8219246,0.015380952,0.040383929
안양,이동차,0.002,0.022,0.333,0.022,25,16.8,135.6696429,1.002380952,17.1,63.95238095,0.014660714,0.036613095
고양,도로변,0.003,0.035,0.471,0.011,62.4,32.3,130.0609756,0.67804878,12.3,63.80487805,0.058554878,0.09297561
고양,도시대기,0.004,0.023,0.471,0.019,43.5,25.5,187.0089286,0.854960317,12.1,65.17460317,0.014914683,0.038209325
고양,이동차,0.002,0.024,0.433,0.021,43.5,30,312.7232143,0.355357143,12.8,63.03571429,0.022196429,0.045803571
부천,도로변,0.003,0.04,0.706,0.011,72.8,49.5,156.6768293,0.610365854,11.8,75.74390244,0.039841463,0.079335366
부천,도시대기,0.003,0.034,0.684,0.014,73.6,49.6,202.65625,1.192162698,11.9,74.50595238,0.027232143,0.061488095
부천,이동차,0.004,0.04,0.654,0.014,72.9,56.5,206.3839286,0.913095238,12.1,72.98809524,0.047982143,0.088095238
평택,도시대기,0.004,0.034,0.333,0.013,67.9,38.9,186.1132813,1.210677083,7.7,67.59895833,0.029648438,0.063809028
평택,이동차,0.003,0.038,0.601,0.011,61.8,44.2,163.125,0.747619048,7.4,61.08333333,0.029613095,0.06727381
